Ask,AskVolume,AveragePrice,Bid,BidVolume,Change,ClosePrice,High,HighFiftyTwo,ID,Last,LastTradedDate,LastTradedQuantity,LogoUrl,Low,LowFiftyTwo,MID,Name,OpenPrice,PercentageChange,PreviousClose,Price,Sector,Symbol,TOP,TOV,Trades,Value,Volume,statusIndicator,statusIndicatorOth
0,0,4.35,4.3,100000,-0.13,4.35,4.35,4.48,DHAFRA,4.35,"Tue, 25 Jan 2022 10:15:57 GMT",69499,AEA000601012,4.35,3.9,510,Al Dhafra Insurance Co.,4.35,-2.9,4.48,4.35,Insurance,DHAFRA,,,1,302321,69499, ,
20.76,1254,20.5,20.74,1236,-0.04,20.92,20.94,23.8,DRIVE,20.92,"Tue, 25 Jan 2022 08:21:04 GMT",427167,AEE000601014,20,13.44,510,Emirates Driving Company,20.94,-0.19,20.96,20.92,Services,DRIVE,,,18,8755845,427167, , 
29.98,486,29.79,29,450,0.18,29.98,33.46,66.85,EASYLEASE,29.98,"Tue, 25 Jan 2022 10:36:42 GMT",144000,AEE002801018,28.5,19,517,Easy Lease Motorcycle Rental PJSC,29.8,0.6,29.8,29.98,Other,EASYLEASE,,,56,4289472,144000, , 
7.89,64,7.96,7.82,496,-0.1,7.9,8,11.8,ESG,7.9,"Tue, 25 Jan 2022 09:51:10 GMT",1643960,AEE002901016,7.9,3.01,517,ESG EMIRATES STALLIONS GROUP P.J.S.C,7.99,-1.25,8,7.9,Other,ESG,,,44,13079331,1643960, , 
0.33,232577,0.33,0.33,11866,0,0.33,0.34,0.48,ESHRAQ,0.33,"Tue, 25 Jan 2022 10:55:00 GMT",10472207,AEE000901018,0.32,0.29,510,ESHRAQ INVESTMENTS P.J.S.C,0.34,-0.89,0.34,0.333,Investment & Financial Services,ESHRAQ,,,173,3451066,10472207, ,20 
32.2,116944,31.98,31.94,85,0.12,32.2,32.2,37,ETISALAT,32.2,"Tue, 25 Jan 2022 10:55:00 GMT",2997797,AEE000401019,31.66,19.18,510,Emirates Telecom. Group Company (Etisalat Group) PJSC,31.9,0.37,32.08,32.2,Telecommunication,ETISALAT,,,808,95883619,2997797, , 
20.5,351557,20.34,20.36,2499,0.04,20.5,20.5,21,NBAD,20.5,"Tue, 25 Jan 2022 10:55:00 GMT",16289379,AEN000101016,20.14,14.1,510,First Abu Dhabi Bank,20.16,0.2,20.46,20.5,Banks,FAB,,,783,331280675,16289379, , 
3.85,194773,3.83,3.83,59300,0,3.85,3.85,4.02,FERTIGLOBE,3.85,"Tue, 25 Jan 2022 10:55:00 GMT",3047019,AEF000901015,3.81,2.92,510,Fertiglobe plc,3.82,0,3.85,3.85,Industrial,FERTIGLB,,,133,11669500,3047019, , 
2,91533,2,0,0,-0.1,2,2,2.1,FH,2,"Tue, 25 Jan 2022 10:58:18 GMT",3000,AEF000401016,2,1.4,510,Finance House,2,-4.76,2.1,2,Banks,FH,,,2,6000,3000, , 
0.67,31000,0.64,0.67,31000,0.01,0.67,0.67,1,GCEM,0.67,"Tue, 25 Jan 2022 10:00:33 GMT",111999,AEG000101010,0.64,0.63,510,Gulf Cement Co.,0.64,1.67,0.66,0.67,Industrial,GCEM,,,6,71851,111999, , 
