Ask,AskVolume,AveragePrice,Bid,BidVolume,Change,ClosePrice,High,HighFiftyTwo,ID,Last,LastTradedDate,LastTradedQuantity,LogoUrl,Low,LowFiftyTwo,MID,Name,OpenPrice,PercentageChange,PreviousClose,Price,Sector,Symbol,TOP,TOV,Trades,Value,Volume,statusIndicator,statusIndicatorOth
31.24,135,30.31,28.56,347,0.02,30,33,66.85,EASYLEASE,30,"Wed, 26 Jan 2022 10:42:41 GMT",105326,AEE002801018,29.96,19,517,Easy Lease Motorcycle Rental PJSC,29.96,0.07,29.98,30,Other,EASYLEASE,,,60,3192698,105326, , 
7.94,15886,7.82,7.83,1413,0.04,7.94,7.94,11.8,ESG,7.94,"Wed, 26 Jan 2022 10:24:36 GMT",1420652,AEE002901016,7.78,3.01,517,ESG EMIRATES STALLIONS GROUP P.J.S.C,7.8,0.51,7.9,7.94,Other,ESG,,,42,11111684,1420652, , 
0.33,31559,0.33,0.33,457412,0,0.33,0.33,0.48,ESHRAQ,0.33,"Wed, 26 Jan 2022 10:55:00 GMT",4885924,AEE000901018,0.33,0.29,510,ESHRAQ INVESTMENTS P.J.S.C,0.33,0.3,0.33,0.334,Investment & Financial Services,ESHRAQ,,,80,1619147,4885924, ,20 
32.06,832,32.01,31.86,12000,-0.14,32.06,32.28,37,ETISALAT,32.06,"Wed, 26 Jan 2022 10:55:00 GMT",1465061,AEE000401019,31.7,19.4,510,Emirates Telecom. Group Company (Etisalat Group) PJSC,32.28,-0.43,32.2,32.06,Telecommunication,ETISALAT,,,472,46895042,1465061, , 
20.6,247607,20.47,20.46,1000,0.1,20.6,20.6,21,NBAD,20.6,"Wed, 26 Jan 2022 10:55:00 GMT",15287418,AEN000101016,20.38,14.1,510,First Abu Dhabi Bank,20.48,0.49,20.5,20.6,Banks,FAB,,,690,312882836,15287418, , 
3.85,126578,3.86,3.83,68000,0,3.85,3.89,4.02,FERTIGLOBE,3.85,"Wed, 26 Jan 2022 10:55:00 GMT",9950680,AEF000901015,3.84,2.92,510,Fertiglobe plc,3.84,0,3.85,3.85,Industrial,FERTIGLB,,,474,38366080,9950680, , 
0.66,12500,0.64,0.65,30000,-0.02,0.65,0.66,1,GCEM,0.65,"Wed, 26 Jan 2022 10:55:00 GMT",178126,AEG000101010,0.63,0.63,510,Gulf Cement Co.,0.63,-3.58,0.67,0.646,Industrial,GCEM,,,8,113189,178126, , 
153,768,153.5,152,25000,-1,152,154,165,ASMAK,152,"Wed, 26 Jan 2022 10:55:00 GMT",2324635,AEI000201014,152,45,510,International Holding Company PJSC,153.9,-0.65,153,152,Investment & Financial Services,IHC,,,698,356821988,2324635, , 
1.75,77970,1.75,1.74,55000,0.01,1.75,1.78,2.32,JULPHAR,1.75,"Wed, 26 Jan 2022 10:59:34 GMT",196000,AEG000201018,1.74,1.2,510,Gulf Pharmaceutical Industries,1.78,0.57,1.74,1.75,Industrial,JULPHAR,,,7,342780,196000, , 
0.5,202743,0.5,0.5,60000,0,0.5,0.5,0.64,MANAZEL,0.5,"Wed, 26 Jan 2022 10:55:00 GMT",2866890,AEM000601017,0.5,0.33,517,Manazel PJSC,0.5,-0.2,0.5,0.502,Other,MANAZEL,,,38,1438033,2866890, , 
0.76,66060,0.75,0.75,45000,-0.01,0.75,0.76,1.2,METHAQ,0.75,"Wed, 26 Jan 2022 10:55:00 GMT",58500,AEM000201016,0.75,0.71,510,Methaq Takaful Insurance Compnay,0.76,-0.92,0.76,0.751,Insurance,METHAQ,,,4,44075,58500, ,20 
1.67,50000,1.69,1.66,813706,-0.03,1.66,1.71,2.35,MULTIPLY,1.66,"Wed, 26 Jan 2022 10:56:02 GMT",26580620,AEM001001019,1.66,1.6,510,Multiply Group PJSC,1.69,-1.78,1.69,1.66,Investment & Financial Services,MULTIPLY,,,286,44884249,26580620, ,
1.8,500000,1.8,1.7,1000000,0.1,1.8,1.8,2.24,NBQ,1.8,"Wed, 26 Jan 2022 06:04:21 GMT",200000,AEN000701013,1.8,1.35,510,National Bank of Umm Al Qaiwain,1.8,5.88,1.7,1.8,Banks,NBQ,,,1,360000,200000, , 
13.44,1715,13.13,13.04,5845,0.44,13.44,13.44,15,NMDC,13.44,"Wed, 26 Jan 2022 10:55:00 GMT",2962233,AEN000401010,13,5.75,510,National Marine Dredging Co.,13,3.38,13,13.44,Services,NMDC,,,150,38892504,2962233, , 
11.66,744,11.74,11,3760,-0.78,11.02,11.76,21.48,PALMS,11.02,"Wed, 26 Jan 2022 10:10:25 GMT",213792,AEP000201019,11.02,10.5,517,PALMS SPORTS PrJSC,11.76,-6.61,11.8,11.02,Other,PALMS,,,8,2509430,213792, , 
2.97,19686,2.99,2.94,44679,0.02,2.94,3.03,3.08,RAKCEC,2.94,"Wed, 26 Jan 2022 10:55:00 GMT",2247245,AER000301013,2.94,1.56,510,RAK Ceramics PJSC,2.94,0.68,2.92,2.94,Industrial,RAKCEC,,,114,6726331,2247245, , 
5.7,7545,5.64,5.65,4008,-0.07,5.66,5.79,8.7,RAKCC,5.66,"Wed, 26 Jan 2022 10:58:00 GMT",446065,AER000401011,5.5,0.66,510,Ras Al Khaimah Cement Investment Company P.S.C.,5.73,-1.22,5.73,5.66,Industrial,RAKCIC,,,71,2515875,446065, , 
0.8,69541,0.8,0.79,150000,0.02,0.8,0.8,0.83,RAKPROP,0.8,"Wed, 26 Jan 2022 10:57:24 GMT",7011068,AER000601016,0.79,0.5,510,RAK Properties,0.8,2.05,0.78,0.795,Real Estate,RAKPROP,,,135,5585318,7011068, , 
1.6,116954,1.5,1.5,122211,0,1.5,1.5,2.3,RAKWCT,1.5,"Wed, 26 Jan 2022 06:00:00 GMT",29803,AER000101017,1.5,0.66,510,RAK Co. for White Cement & Construction Materials,1.5,0,1.5,1.5,Industrial,RAKWCT,,,1,44705,29803, , 
8,40,8.25,7.73,1199,0.01,8.18,8.29,20,RPM,8.18,"Wed, 26 Jan 2022 08:47:38 GMT",260639,AER001001018,7.71,7.05,517,Response Plus Holding PrJSC,8.29,0.12,8.17,8.18,Other,RPM,,,13,2149109,260639, , 
0.72,6295,0.72,0.68,292,0.01,0.72,0.72,0.86,SCIDC,0.72,"Wed, 26 Jan 2022 08:18:27 GMT",5,AES000401019,0.72,0.55,510,Sharjah Cement and Industrial Development Co.,0.72,0.84,0.71,0.72,Industrial,SCIDC,,,1,4,5, , 
1.94,450872,1.94,1.93,331825,0,1.93,1.95,2.05,NBS,1.93,"Wed, 26 Jan 2022 10:39:08 GMT",1655907,AES000201013,1.93,1.3,510,Sharjah Islamic Bank,1.93,0,1.93,1.93,Banks,SIB,,,21,3208742,1655907, , 
0.34,50000,0.33,0.33,5000,-0.02,0.33,0.35,0.43,SUDATEL,0.33,"Wed, 26 Jan 2022 09:13:34 GMT",390566,SD000A0F5KV7,0.33,0.32,510,Sudatel Telecommunications Group Company Limited,0.33,-4.6,0.35,0.332,Telecommunication,SUDATEL,,,8,130079,390566, , 
1.25,320000,1.25,1.24,955957,-0.03,1.24,1.27,1.55,TAQA,1.24,"Wed, 26 Jan 2022 10:55:00 GMT",6265230,AEA002401015,1.24,1.15,510,Abu Dhabi National Energy Company,1.27,-2.36,1.27,1.24,Energy,TAQA,,,70,7844586,6265230, , 
5.55,10000,5.5,4.6,1090,0.39,5.5,5.5,8.05,TKFL,5.5,"Wed, 26 Jan 2022 06:01:46 GMT",10000,AEA001801017,5.5,4.4,510,Abu Dhabi National Takaful Co.,5.5,7.63,5.11,5.5,Insurance,TKFL,,,1,55000,10000, , 
1.61,223274,1.6,1.6,3510,-0.02,1.61,1.62,1.96,OILC,1.61,"Wed, 26 Jan 2022 10:57:10 GMT",978748,AEA000701010,1.58,1.09,510,Waha Capital Company,1.62,-1.23,1.63,1.61,Investment & Financial Services,WAHA,,,35,1569216,978748, , 
2.71,366139,2.71,2.69,144510,0.03,2.71,2.72,3.1,YAHSAT,2.71,"Wed, 26 Jan 2022 10:55:00 GMT",2236662,AEA007501017,2.69,2.46,510,Al Yah Satellite Communications Company PJSC,2.7,1.12,2.68,2.71,Telecommunication,YAHSAT,,,151,6054986,2236662, , 
32,100,33.01,30.5,20000,2.04,32,34.44,53,ZS,32,"Wed, 26 Jan 2022 10:56:43 GMT",930468,AEZ000101010,27.9,7.95,517,ZEE STORE PrJSC,30.02,6.81,29.96,32,Other,ZS,,,108,30715629,930468, , 
