$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
41,0,88,EKOCORP,5.79,5.79,,,,,,0,,,Main Board,HEALTHCARE,EKOCORP [BLS],2022-01-27T00:00:00
42,0,77,ELLAHLAKES,4.25,4.25,,,,,,6,6119,26005.75,Main Board,AGRICULTURE,ELLAHLAKES ,2022-01-27T00:00:00
43,0,53,ENAMELWA,16.2,16.2,,,,,,0,,,Main Board,CONSUMER GOODS,ENAMELWA ,2022-01-27T00:00:00
44,0,92,ETERNA,6.1,6.1,,,,,,17,103223,620144.67,Main Board,OIL AND GAS,ETERNA ,2022-01-27T00:00:00
45,7.339449541284404,81,ETI,10.9,10.9,11.95,11.7,11.7,0.8,7.34,192,6064341,71801284.05,Main Board,FINANCIAL SERVICES,ETI ,2022-01-27T00:00:00
46,0,89,ETRANZACT,2,2,,,,,,0,,,Main Board,ICT,ETRANZACT ,2022-01-27T00:00:00
47,0,138,EUNISELL,2.91,2.91,,,,,,0,,,Main Board,SERVICES,EUNISELL ,2022-01-27T00:00:00
48,-1.2987012987012987,83,FBNH,11.55,11.55,11.5,11.35,11.4,-0.15,-1.3,92,2171894,24884669.75,Premium Board,FINANCIAL SERVICES,FBNH ,2022-01-27T00:00:00
49,-0.6578947368421053,84,FCMB,3.04,3.04,3.03,3.02,3.02,-0.02,-0.66,20,1421358,4295399.74,Main Board,FINANCIAL SERVICES,FCMB ,2022-01-27T00:00:00
50,0,85,FIDELITYBK,2.7,2.7,2.7,2.7,2.7,0,,43,1902021,5132430.58,Main Board,FINANCIAL SERVICES,FIDELITYBK ,2022-01-27T00:00:00
51,0,87,FIDSON,7.55,7.55,,,,,,8,20292,149654.1,Main Board,HEALTHCARE,FIDSON ,2022-01-27T00:00:00
52,-0.17482517482517484,78,FLOURMILL,28.6,28.6,28.55,28.55,28.55,-0.05,-0.17,51,634485,18106195,Main Board,CONSUMER GOODS,FLOURMILL ,2022-01-27T00:00:00
53,0,38,FTNCOCOA,0.37,0.37,0.37,0.37,0.37,0,,9,1178350,435989.5,Main Board,AGRICULTURE,FTNCOCOA [RST],2022-01-27T00:00:00
54,0.8264462809917356,45,GLAXOSMITH,6.05,6.05,6.1,6.1,6.1,0.05,0.83,29,784135,4744701.65,Main Board,HEALTHCARE,GLAXOSMITH ,2022-01-27T00:00:00
55,0,39,GOLDBREW,0.81,0.81,,,,,,0,,,Main Board,CONSUMER GOODS,GOLDBREW [BLS],2022-01-27T00:00:00
56,0,44,GOLDINSURE,0.2,0.2,,,,,,0,,,Main Board,FINANCIAL SERVICES,GOLDINSURE [MRS],2022-01-27T00:00:00
57,0,13,GSPECPLC,4.19,4.19,,,,,,0,,,Main Board,SERVICES,GSPECPLC ,2022-01-27T00:00:00
58,0.19607843137254904,42,GTCO,25.5,25.5,25.75,25.55,25.55,0.05,0.2,189,4564371,116788488.25,Main Board,FINANCIAL SERVICES,GTCO ,2022-01-27T00:00:00
59,0,43,GUINEAINS,0.2,0.2,,,,,,0,,,Main Board,FINANCIAL SERVICES,GUINEAINS ,2022-01-27T00:00:00
