$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
61,-1.146131805157593,46,HONYFLOUR,3.49,3.49,3.45,3.45,3.45,-0.04,-1.15,20,931953,3215987.77,Main Board,CONSUMER GOODS,HONYFLOUR ,2022-01-28T00:00:00
62,0,53,IKEJAHOTEL,1.28,1.28,,,,,,2,7150,9867,Main Board,SERVICES,IKEJAHOTEL ,2022-01-28T00:00:00
63,0,39,IMG,9.5,9.5,,,,,,0,,,Main Board,NATURAL RESOURCES,IMG ,2022-01-28T00:00:00
64,0,14,INFINITY,1.32,1.32,,,,,,0,,,Main Board,FINANCIAL SERVICES,INFINITY [BLS],2022-01-28T00:00:00
65,1.8181818181818183,84,INTBREW,5.5,5.5,5.6,5.6,5.6,0.1,1.82,61,1684497,9614235.7,Main Board,CONSUMER GOODS,INTBREW [BLS],2022-01-28T00:00:00
66,0,85,INTENEGINS,0.38,0.38,,,,,,0,,,Main Board,FINANCIAL SERVICES,INTENEGINS [MRS],2022-01-28T00:00:00
67,0,1,JAIZBANK,0.67,0.67,,,,,,8,33845,23780.55,Main Board,FINANCIAL SERVICES,JAIZBANK ,2022-01-28T00:00:00
68,0,91,JAPAULGOLD,0.39,0.39,,,,,,0,,,Main Board,OIL AND GAS,JAPAULGOLD ,2022-01-28T00:00:00
69,0,83,JBERGER,24.15,24.15,,,,,,11,51780,1249298.1,Main Board,CONSTRUCTION/REAL ESTATE,JBERGER ,2022-01-28T00:00:00
70,0,82,JOHNHOLT,0.72,0.72,,,,,,1,125,87.5,Main Board,CONGLOMERATES,JOHNHOLT ,2022-01-28T00:00:00
71,0,92,JULI,0.91,0.91,,,,,,0,,,ASeM,SERVICES,JULI ,2022-01-28T00:00:00
72,0,86,LASACO,1.13,1.13,,,,,,3,15869,18049.35,Main Board,FINANCIAL SERVICES,LASACO ,2022-01-28T00:00:00
73,0,93,LEARNAFRCA,1.4,1.4,,,,,,4,40733,57064.2,Main Board,SERVICES,LEARNAFRCA ,2022-01-28T00:00:00
74,0,88,LINKASSURE,0.52,0.52,,,,,,0,,,Main Board,FINANCIAL SERVICES,LINKASSURE ,2022-01-28T00:00:00
75,0,81,LIVESTOCK,2.1,2.1,,,,,,8,242827,514100.26,Main Board,AGRICULTURE,LIVESTOCK ,2022-01-28T00:00:00
76,0,7,LIVINGTRUST,1.14,1.14,,,,,,0,,,Growth Board,FINANCIAL SERVICES,LIVINGTRUST [BLS],2022-01-28T00:00:00
77,0,87,MANSARD,2.34,2.34,,,,,,5,10734,25025.75,Main Board,FINANCIAL SERVICES,MANSARD ,2022-01-28T00:00:00
78,6.279069767441861,89,MAYBAKER,4.3,4.3,4.57,4.31,4.57,0.27,6.28,9,253487,1132096.28,Main Board,HEALTHCARE,MAYBAKER ,2022-01-28T00:00:00
79,0,73,MBENEFIT,0.27,0.27,0.27,0.27,0.27,0,,5,6013954,1623907.12,Main Board,FINANCIAL SERVICES,MBENEFIT ,2022-01-28T00:00:00
80,0,66,MCNICHOLS,0.77,0.77,,,,,,0,,,Growth Board,CONSUMER GOODS,MCNICHOLS ,2022-01-28T00:00:00
81,0,4,MEDVIEWAIR,1.62,1.62,,,,,,0,,,Main Board,SERVICES,MEDVIEWAIR [BMF],2022-01-28T00:00:00
82,0,137,MEYER,0.55,0.55,,,,,,1,276,165.6,Main Board,INDUSTRIAL GOODS,MEYER ,2022-01-28T00:00:00
83,0,75,MORISON,1.99,1.99,,,,,,0,,,Main Board,HEALTHCARE,MORISON ,2022-01-28T00:00:00
84,0,79,MRS,13.55,13.55,,,,,,1,500,6750,Main Board,OIL AND GAS,MRS ,2022-01-28T00:00:00
85,0,15,MTNN,190,190,190,190,190,0,,63,3246575,616846656.3,Premium Board,ICT,MTNN ,2022-01-28T00:00:00
86,0,67,MULTITREX,0.36,0.36,,,,,,0,,,Main Board,CONSUMER GOODS,MULTITREX [DIP],2022-01-28T00:00:00
87,0,78,MULTIVERSE,0.2,0.2,0.2,0.2,0.2,0,,5,116900,23414,Main Board,NATURAL RESOURCES,MULTIVERSE ,2022-01-28T00:00:00
88,0.5,80,NAHCO,4,4,4.02,3.9,4.02,0.02,0.5,46,2369569,9596830.75,Main Board,SERVICES,NAHCO ,2022-01-28T00:00:00
89,1.140684410646388,69,NASCON,13.15,13.15,13.3,13.3,13.3,0.15,1.14,30,1198100,15872691.15,Main Board,CONSUMER GOODS,NASCON ,2022-01-28T00:00:00
90,0,57,NB,48.5,48.5,,,,,,16,29781,1452697.2,Main Board,CONSUMER GOODS,NB ,2022-01-28T00:00:00
91,0,77,NCR,3,3,,,,,,0,,,Main Board,ICT,NCR ,2022-01-28T00:00:00
92,0,76,NEIMETH,1.8,1.8,,,,,,2,6000,10900,Main Board,HEALTHCARE,NEIMETH ,2022-01-28T00:00:00
93,0,74,NEM,3.2,3.2,3.35,3.2,3.2,0,4.69,14,892550,2896865,Main Board,FINANCIAL SERVICES,NEM ,2022-01-28T00:00:00
94,0,72,NESF,552.2,552.2,,,,,,0,,,Real Estate Investment Trust & Close End Fund,FINANCIAL SERVICES,NESF ,2022-01-28T00:00:00
95,0,70,NESTLE,1435,1435,,,,,,20,7223,10160583.5,Main Board,CONSUMER GOODS,NESTLE ,2022-01-28T00:00:00
96,0,35,NGXGROUP,20.9,20.9,,,,,,9,109580,2295701,Main Board,FINANCIAL SERVICES,NGXGROUP ,2022-01-28T00:00:00
97,0,71,NIGERINS,0.2,0.2,,,,,,0,,,Main Board,FINANCIAL SERVICES,NIGERINS [MRF],2022-01-28T00:00:00
98,0,68,NNFM,8.65,8.65,,,,,,3,9239,85851,Main Board,CONSUMER GOODS,NNFM ,2022-01-28T00:00:00
99,0,12,NOTORE,62.5,62.5,,,,,,0,,,Main Board,INDUSTRIAL GOODS,NOTORE [BLS],2022-01-28T00:00:00
100,0,59,NPFMCRFBK,2.05,2.05,,,,,,8,108134,227383.26,Main Board,FINANCIAL SERVICES,NPFMCRFBK ,2022-01-28T00:00:00
101,0,108,NSLTECH,0.2,0.2,,,,,,0,,,Main Board,SERVICES,NSLTECH ,2022-01-28T00:00:00
102,1.0869565217391304,64,OANDO,4.6,4.6,4.65,4.65,4.65,0.05,1.09,31,903954,4198222.72,Main Board,OIL AND GAS,OANDO [MRF],2022-01-28T00:00:00
103,0,54,OKOMUOIL,142,142,,,,,,3,601,79307.1,Main Board,AGRICULTURE,OKOMUOIL ,2022-01-28T00:00:00
104,0,62,OMATEK,0.2,0.2,,,,,,0,,,Main Board,ICT,OMATEK [RST],2022-01-28T00:00:00
105,0,61,PHARMDEKO,2.2,2.2,,,,,,1,1000,2400,Main Board,HEALTHCARE,PHARMDEKO ,2022-01-28T00:00:00
106,0,63,PREMPAINTS,10,10,,,,,,0,,,Main Board,INDUSTRIAL GOODS,PREMPAINTS ,2022-01-28T00:00:00
107,0,55,PRESCO,87.8,87.8,,,,,,8,96888,8559415.3,Main Board,AGRICULTURE,PRESCO ,2022-01-28T00:00:00
108,0,60,PRESTIGE,0.46,0.46,,,,,,1,22320,9597.6,Main Board,FINANCIAL SERVICES,PRESTIGE [BLS],2022-01-28T00:00:00
109,0,56,PZ,7,7,,,,,,9,8147,57788.8,Main Board,CONSUMER GOODS,PZ ,2022-01-28T00:00:00
110,0,106,RAKUNITY,0.3,0.3,,,,,,0,,,ASeM,OIL AND GAS,RAKUNITY [MRF],2022-01-28T00:00:00
111,0,107,REDSTAREX,3.5,3.5,,,,,,3,42170,143078,Main Board,SERVICES,REDSTAREX ,2022-01-28T00:00:00
112,-4.878048780487805,103,REGALINS,0.41,0.41,0.39,0.39,0.39,-0.02,-4.88,10,1440000,559050,Main Board,FINANCIAL SERVICES,REGALINS ,2022-01-28T00:00:00
113,0,104,RESORTSAL,0.2,0.2,,,,,,0,,,Main Board,FINANCIAL SERVICES,RESORTSAL [MRF],2022-01-28T00:00:00
