$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
134,-0.9259259259259259,124,TRANSCORP,1.08,1.08,1.1,1.04,1.07,-0.01,-0.93,129,20439908,21648542.88,Main Board,CONGLOMERATES,TRANSCORP ,2022-01-25T00:00:00
135,0,140,TRANSEXPR,0.81,0.81,,,0.81,,,0,,,Main Board,SERVICES,TRANSEXPR ,2022-01-25T00:00:00
136,0,136,TRIPPLEG,0.96,0.96,,,0.96,,,6,7925,7082.76,Main Board,INDUSTRIAL GOODS,TRIPPLEG ,2022-01-25T00:00:00
137,0,125,UACN,9,9,,,9,,,34,381220,3460366.85,Main Board,CONGLOMERATES,UACN ,2022-01-25T00:00:00
138,0.6172839506172839,132,UBA,8.1,8.1,8.15,8.1,8.15,0.05,0.62,141,4630278,37637952.9,Premium Board,FINANCIAL SERVICES,UBA ,2022-01-25T00:00:00
139,0.8547008547008548,130,UBN,5.85,5.85,5.9,5.85,5.9,0.05,0.85,83,3001829,17682811.4,Main Board,FINANCIAL SERVICES,UBN [BLS],2022-01-25T00:00:00
140,-1.3761467889908257,135,UCAP,10.9,10.9,10.75,10.7,10.75,-0.15,-1.38,103,1754834,18897005.95,Main Board,FINANCIAL SERVICES,UCAP ,2022-01-25T00:00:00
141,0,127,UHOMREIT,36.6,36.6,,,36.6,,,0,,,Real Estate Investment Trust & Close End Fund,CONSTRUCTION/REAL ESTATE,UHOMREIT ,2022-01-25T00:00:00
142,0,131,UNHOMES,3.02,3.02,,,3.02,,,0,,,Main Board,FINANCIAL SERVICES,UNHOMES [MRS],2022-01-25T00:00:00
143,0,128,UNILEVER,13.05,13.05,,,13.05,,,47,746157,9737079,Main Board,CONSUMER GOODS,UNILEVER ,2022-01-25T00:00:00
144,0,129,UNIONDICON,9.9,9.9,,,9.9,,,0,,,Main Board,CONSUMER GOODS,UNIONDICON [BRS],2022-01-25T00:00:00
145,0,133,UNITYBNK,0.49,0.49,0.49,0.49,0.49,0,,9,185830,91898.9,Main Board,FINANCIAL SERVICES,UNITYBNK ,2022-01-25T00:00:00
146,0,30,UNIVINSURE,0.2,0.2,,,0.2,,,0,,,Main Board,FINANCIAL SERVICES,UNIVINSURE ,2022-01-25T00:00:00
147,-3.4482758620689657,126,UPDC,1.16,1.16,1.12,1.12,1.12,-0.04,-3.45,8,406793,455769.84,Main Board,CONSTRUCTION/REAL ESTATE,UPDC [BLS],2022-01-25T00:00:00
148,0,25,UPDCREIT,3.95,3.95,4,3.95,3.95,0,1.27,52,7076623,28226013.05,Real Estate Investment Trust & Close End Fund,CONSTRUCTION/REAL ESTATE,UPDCREIT ,2022-01-25T00:00:00
149,0,31,UPL,2.94,2.94,,,2.94,,,2,1021,2705.65,Main Board,SERVICES,UPL ,2022-01-25T00:00:00
150,0,62,VANLEER,5.45,5.45,,,5.45,,,0,,,Main Board,INDUSTRIAL GOODS,VANLEER ,2022-01-25T00:00:00
151,0,134,VERITASKAP,0.21,0.21,0.21,0.21,0.21,0,,7,509510,107056.3,Main Board,FINANCIAL SERVICES,VERITASKAP ,2022-01-25T00:00:00
152,0,26,VITAFOAM,22.2,22.2,,,22.2,,,52,667255,14664186.8,Main Board,CONSUMER GOODS,VITAFOAM ,2022-01-25T00:00:00
153,-0.3937007874015748,152,WAPCO,25.4,25.4,25.4,25.3,25.3,-0.1,-0.39,107,2238231,56665060.9,Premium Board,INDUSTRIAL GOODS,WAPCO ,2022-01-25T00:00:00
154,0,27,WAPIC,0.49,0.49,,,0.49,,,24,132410,64287.66,Main Board,FINANCIAL SERVICES,WAPIC ,2022-01-25T00:00:00
155,1.1904761904761905,28,WEMABANK,0.84,0.84,0.85,0.82,0.85,0.01,1.19,66,9313074,7799271.99,Main Board,FINANCIAL SERVICES,WEMABANK ,2022-01-25T00:00:00
156,-0.78125,29,ZENITHBANK,25.6,25.6,25.65,25.4,25.4,-0.2,-0.78,378,17318113,440520098.7,Premium Board,FINANCIAL SERVICES,ZENITHBANK ,2022-01-25T00:00:00
